route,edition,resolution,scale,family,group,canonical_source_group,name,jp,ko,state,metadata_record,metadata_rect,metadata_third,logical_rect,logical_size,atlas_clip_rect,boundary_clipped,bc3_block_rect
base_low,base,low,1,base_detail,0,0,county_info,郡情報,군정보,1,18,"[1460,1188,96,88]",0,"[1458,1182,1558,1277]","[100,95]","[1458,1182,1558,1277]",False,"[364,295,390,320]"
base_low,base,low,1,base_detail,0,0,county_info,郡情報,군정보,2,19,"[1564,1188,96,88]",0,"[1562,1182,1662,1277]","[100,95]","[1562,1182,1662,1277]",False,"[390,295,416,320]"
base_low,base,low,1,base_detail,0,0,county_info,郡情報,군정보,3,20,"[1668,1188,96,88]",0,"[1666,1182,1766,1277]","[100,95]","[1666,1182,1766,1277]",False,"[416,295,442,320]"
base_low,base,low,1,base_detail,0,0,county_info,郡情報,군정보,4,21,"[1772,1188,96,88]",0,"[1770,1182,1870,1277]","[100,95]","[1770,1182,1870,1277]",False,"[442,295,468,320]"
base_low,base,low,1,base_detail,0,0,county_info,郡情報,군정보,5,22,"[1876,1188,96,88]",0,"[1874,1182,1974,1277]","[100,95]","[1874,1182,1974,1277]",False,"[468,295,494,320]"
base_low,base,low,1,base_detail,0,0,county_info,郡情報,군정보,6,23,"[4,1236,96,88]",0,"[2,1230,102,1325]","[100,95]","[2,1230,102,1325]",False,"[0,307,26,332]"
base_low,base,low,1,base_detail,1,1,battle_info,合戦情報,합전정보,1,24,"[108,1268,96,88]",0,"[106,1262,206,1357]","[100,95]","[106,1262,206,1357]",False,"[26,315,52,340]"
base_low,base,low,1,base_detail,1,1,battle_info,合戦情報,합전정보,2,25,"[212,1284,96,88]",0,"[210,1278,310,1373]","[100,95]","[210,1278,310,1373]",False,"[52,319,78,344]"
base_low,base,low,1,base_detail,1,1,battle_info,合戦情報,합전정보,3,26,"[316,1284,96,88]",0,"[314,1278,414,1373]","[100,95]","[314,1278,414,1373]",False,"[78,319,104,344]"
base_low,base,low,1,base_detail,1,1,battle_info,合戦情報,합전정보,4,27,"[420,1284,96,88]",0,"[418,1278,518,1373]","[100,95]","[418,1278,518,1373]",False,"[104,319,130,344]"
base_low,base,low,1,base_detail,1,1,battle_info,合戦情報,합전정보,5,28,"[524,1284,96,88]",0,"[522,1278,622,1373]","[100,95]","[522,1278,622,1373]",False,"[130,319,156,344]"
base_low,base,low,1,base_detail,1,1,battle_info,合戦情報,합전정보,6,29,"[628,1284,96,88]",0,"[626,1278,726,1373]","[100,95]","[626,1278,726,1373]",False,"[156,319,182,344]"
base_low,base,low,1,base_detail,2,2,fief,知行,지행,1,30,"[732,1284,96,88]",0,"[730,1278,830,1373]","[100,95]","[730,1278,830,1373]",False,"[182,319,208,344]"
base_low,base,low,1,base_detail,2,2,fief,知行,지행,2,31,"[836,1284,96,88]",0,"[834,1278,934,1373]","[100,95]","[834,1278,934,1373]",False,"[208,319,234,344]"
base_low,base,low,1,base_detail,2,2,fief,知行,지행,3,32,"[940,1284,96,88]",0,"[938,1278,1038,1373]","[100,95]","[938,1278,1038,1373]",False,"[234,319,260,344]"
base_low,base,low,1,base_detail,2,2,fief,知行,지행,4,33,"[1044,1284,96,88]",0,"[1042,1278,1142,1373]","[100,95]","[1042,1278,1142,1373]",False,"[260,319,286,344]"
base_low,base,low,1,base_detail,2,2,fief,知行,지행,5,34,"[1148,1284,96,88]",0,"[1146,1278,1246,1373]","[100,95]","[1146,1278,1246,1373]",False,"[286,319,312,344]"
base_low,base,low,1,base_detail,2,2,fief,知行,지행,6,35,"[1252,1284,96,88]",0,"[1250,1278,1350,1373]","[100,95]","[1250,1278,1350,1373]",False,"[312,319,338,344]"
base_low,base,low,1,base_detail,3,3,magistrate,代官,대관,1,36,"[1356,1284,96,88]",0,"[1354,1278,1454,1373]","[100,95]","[1354,1278,1454,1373]",False,"[338,319,364,344]"
base_low,base,low,1,base_detail,3,3,magistrate,代官,대관,2,37,"[1460,1284,96,88]",0,"[1458,1278,1558,1373]","[100,95]","[1458,1278,1558,1373]",False,"[364,319,390,344]"
base_low,base,low,1,base_detail,3,3,magistrate,代官,대관,3,38,"[1564,1284,96,88]",0,"[1562,1278,1662,1373]","[100,95]","[1562,1278,1662,1373]",False,"[390,319,416,344]"
base_low,base,low,1,base_detail,3,3,magistrate,代官,대관,4,39,"[1668,1284,96,88]",0,"[1666,1278,1766,1373]","[100,95]","[1666,1278,1766,1373]",False,"[416,319,442,344]"
base_low,base,low,1,base_detail,3,3,magistrate,代官,대관,5,40,"[1772,1284,96,88]",0,"[1770,1278,1870,1373]","[100,95]","[1770,1278,1870,1373]",False,"[442,319,468,344]"
base_low,base,low,1,base_detail,3,3,magistrate,代官,대관,6,41,"[1876,1284,96,88]",0,"[1874,1278,1974,1373]","[100,95]","[1874,1278,1974,1373]",False,"[468,319,494,344]"
base_low,base,low,1,base_detail,4,4,county_develop,郡開発,군개발,1,42,"[4,1332,96,88]",0,"[2,1326,102,1421]","[100,95]","[2,1326,102,1421]",False,"[0,331,26,356]"
base_low,base,low,1,base_detail,4,4,county_develop,郡開発,군개발,2,43,"[108,1364,96,88]",0,"[106,1358,206,1453]","[100,95]","[106,1358,206,1453]",False,"[26,339,52,364]"
base_low,base,low,1,base_detail,4,4,county_develop,郡開発,군개발,3,44,"[212,1380,96,88]",0,"[210,1374,310,1469]","[100,95]","[210,1374,310,1469]",False,"[52,343,78,368]"
base_low,base,low,1,base_detail,4,4,county_develop,郡開発,군개발,4,45,"[316,1380,96,88]",0,"[314,1374,414,1469]","[100,95]","[314,1374,414,1469]",False,"[78,343,104,368]"
base_low,base,low,1,base_detail,4,4,county_develop,郡開発,군개발,5,46,"[420,1380,96,88]",0,"[418,1374,518,1469]","[100,95]","[418,1374,518,1469]",False,"[104,343,130,368]"
base_low,base,low,1,base_detail,4,4,county_develop,郡開発,군개발,6,47,"[524,1380,96,88]",0,"[522,1374,622,1469]","[100,95]","[522,1374,622,1469]",False,"[130,343,156,368]"
base_low,base,low,1,base_detail,5,5,unit_info,部隊情報,부대정보,1,48,"[4,1908,96,88]",0,"[2,1902,102,1997]","[100,95]","[2,1902,102,1997]",False,"[0,475,26,500]"
base_low,base,low,1,base_detail,5,5,unit_info,部隊情報,부대정보,2,49,"[116,212,96,88]",0,"[114,206,214,301]","[100,95]","[114,206,214,301]",False,"[28,51,54,76]"
base_low,base,low,1,base_detail,5,5,unit_info,部隊情報,부대정보,3,50,"[220,228,96,88]",0,"[218,222,318,317]","[100,95]","[218,222,318,317]",False,"[54,55,80,80]"
base_low,base,low,1,base_detail,5,5,unit_info,部隊情報,부대정보,4,51,"[324,228,96,88]",0,"[322,222,422,317]","[100,95]","[322,222,422,317]",False,"[80,55,106,80]"
base_low,base,low,1,base_detail,5,5,unit_info,部隊情報,부대정보,5,52,"[428,228,96,88]",0,"[426,222,526,317]","[100,95]","[426,222,526,317]",False,"[106,55,132,80]"
base_low,base,low,1,base_detail,5,5,unit_info,部隊情報,부대정보,6,53,"[532,228,96,88]",0,"[530,222,630,317]","[100,95]","[530,222,630,317]",False,"[132,55,158,80]"
base_low,base,low,1,base_detail,6,6,sortie,出陣,출진,1,54,"[636,228,96,88]",0,"[634,222,734,317]","[100,95]","[634,222,734,317]",False,"[158,55,184,80]"
base_low,base,low,1,base_detail,6,6,sortie,出陣,출진,2,55,"[740,228,96,88]",0,"[738,222,838,317]","[100,95]","[738,222,838,317]",False,"[184,55,210,80]"
base_low,base,low,1,base_detail,6,6,sortie,出陣,출진,3,56,"[844,228,96,88]",0,"[842,222,942,317]","[100,95]","[842,222,942,317]",False,"[210,55,236,80]"
base_low,base,low,1,base_detail,6,6,sortie,出陣,출진,4,57,"[948,228,96,88]",0,"[946,222,1046,317]","[100,95]","[946,222,1046,317]",False,"[236,55,262,80]"
base_low,base,low,1,base_detail,6,6,sortie,出陣,출진,5,58,"[1052,228,96,88]",0,"[1050,222,1150,317]","[100,95]","[1050,222,1150,317]",False,"[262,55,288,80]"
base_low,base,low,1,base_detail,6,6,sortie,出陣,출진,6,59,"[1156,228,96,88]",0,"[1154,222,1254,317]","[100,95]","[1154,222,1254,317]",False,"[288,55,314,80]"
base_low,base,low,1,base_detail,7,7,return_castle,帰城,귀성,1,60,"[1260,228,96,88]",0,"[1258,222,1358,317]","[100,95]","[1258,222,1358,317]",False,"[314,55,340,80]"
base_low,base,low,1,base_detail,7,7,return_castle,帰城,귀성,2,61,"[1364,228,96,88]",0,"[1362,222,1462,317]","[100,95]","[1362,222,1462,317]",False,"[340,55,366,80]"
base_low,base,low,1,base_detail,7,7,return_castle,帰城,귀성,3,62,"[1468,228,96,88]",0,"[1466,222,1566,317]","[100,95]","[1466,222,1566,317]",False,"[366,55,392,80]"
base_low,base,low,1,base_detail,7,7,return_castle,帰城,귀성,4,63,"[1572,228,96,88]",0,"[1570,222,1670,317]","[100,95]","[1570,222,1670,317]",False,"[392,55,418,80]"
base_low,base,low,1,base_detail,7,7,return_castle,帰城,귀성,5,64,"[1676,228,96,88]",0,"[1674,222,1774,317]","[100,95]","[1674,222,1774,317]",False,"[418,55,444,80]"
base_low,base,low,1,base_detail,7,7,return_castle,帰城,귀성,6,65,"[1780,228,96,88]",0,"[1778,222,1878,317]","[100,95]","[1778,222,1878,317]",False,"[444,55,470,80]"
base_low,base,low,1,base_detail,8,8,enter_castle,入城,입성,1,66,"[1884,228,96,88]",0,"[1882,222,1982,317]","[100,95]","[1882,222,1982,317]",False,"[470,55,496,80]"
base_low,base,low,1,base_detail,8,8,enter_castle,入城,입성,2,67,"[4,276,96,88]",0,"[2,270,102,365]","[100,95]","[2,270,102,365]",False,"[0,67,26,92]"
base_low,base,low,1,base_detail,8,8,enter_castle,入城,입성,3,68,"[108,308,96,88]",0,"[106,302,206,397]","[100,95]","[106,302,206,397]",False,"[26,75,52,100]"
base_low,base,low,1,base_detail,8,8,enter_castle,入城,입성,4,69,"[212,324,96,88]",0,"[210,318,310,413]","[100,95]","[210,318,310,413]",False,"[52,79,78,104]"
base_low,base,low,1,base_detail,8,8,enter_castle,入城,입성,5,70,"[316,324,96,88]",0,"[314,318,414,413]","[100,95]","[314,318,414,413]",False,"[78,79,104,104]"
